commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
33.579,2017-05-05 10:30:00,160,3373.4,2017-05-08 13:45:00,161,3342.4,266.421,10.0,IF88:CTP,67158.0,-10
33.436,2017-05-11 10:15:00,162,3330.0,2017-05-12 11:15:00,163,3357.2,-315.43599999999816,10.0,IF88:CTP,66872.0,-10
33.875,2017-05-19 10:30:00,164,3383.0,2017-05-23 14:15:00,165,3392.0,46.125,10.0,IF88:CTP,67750.0,10
34.462,2017-05-25 11:00:00,166,3418.6,2017-05-26 14:30:00,167,3473.8,507.53800000000274,10.0,IF88:CTP,68924.0,10
35.147,2017-06-01 14:45:00,168,3487.0,2017-06-08 13:00:00,169,3542.4,508.85300000000086,10.0,IF88:CTP,70294.0,10
35.561,2017-06-13 14:30:00,170,3582.2,2017-06-15 09:30:00,171,3530.0,-567.5609999999982,10.0,IF88:CTP,71122.0,10
35.262,2017-06-15 14:15:00,172,3532.2,2017-06-20 14:00:00,174,3520.2,-165.262,10.0,IF88:CTP,70524.0,10
35.474000000000004,2017-06-20 14:00:00,175,3520.2,2017-06-22 10:00:00,177,3574.6,-589.474000000001,10.0,IF88:CTP,70948.0,-10
35.693,2017-06-22 10:00:00,178,3574.6,2017-06-23 10:45:00,179,3564.0,-151.69299999999907,10.0,IF88:CTP,71386.0,10
36.315,2017-06-26 11:15:00,180,3632.6,2017-06-27 13:15:00,181,3630.4,-68.31499999999818,10.0,IF88:CTP,72630.0,10
36.303,2017-06-29 14:30:00,182,3642.4,2017-07-03 11:00:00,183,3618.2,-288.3030000000027,10.0,IF88:CTP,72606.0,10
36.118,2017-07-05 11:00:00,184,3605.0,2017-07-07 10:00:00,185,3618.6,89.8819999999991,10.0,IF88:CTP,72236.0,10
36.371,2017-07-10 14:15:00,186,3642.4,2017-07-11 09:30:00,187,3631.8,-152.3709999999991,10.0,IF88:CTP,72742.0,10
36.488,2017-07-11 09:45:00,188,3645.6,2017-07-12 13:45:00,189,3652.0,17.51200000000091,10.0,IF88:CTP,72976.0,10
36.691,2017-07-14 09:45:00,190,3673.6,2017-07-17 10:30:00,191,3664.6,-136.691,10.0,IF88:CTP,73382.0,10
36.864000000000004,2017-07-17 13:15:00,192,3690.0,2017-07-17 14:00:00,193,3682.8,-118.86399999999819,10.0,IF88:CTP,73728.0,10
37.117,2017-07-19 10:45:00,194,3699.6,2017-07-21 09:45:00,195,3723.8,194.88300000000274,10.0,IF88:CTP,74234.0,10
36.986000000000004,2017-07-25 10:00:00,196,3718.4,2017-07-26 11:15:00,197,3678.8,-442.9859999999991,10.0,IF88:CTP,73972.0,10
36.71,2017-07-27 10:45:00,198,3672.2,2017-07-27 11:15:00,199,3669.8,-22.71000000000364,10.0,IF88:CTP,73420.0,-10
37.2,2017-08-04 14:15:00,200,3717.8,2017-08-09 13:00:00,201,3722.2,-3.200000000003641,10.0,IF88:CTP,74400.0,10
36.728,2017-08-16 10:15:00,202,3659.0,2017-08-17 13:45:00,203,3686.6,-322.7279999999991,10.0,IF88:CTP,73456.0,-10
37.372,2017-08-23 14:00:00,204,3737.8,2017-08-24 11:00:00,205,3736.6,-59.37200000000273,10.0,IF88:CTP,74744.0,10
38.084,2017-08-25 13:00:00,206,3772.0,2017-08-29 10:15:00,207,3844.8,679.9160000000018,10.0,IF88:CTP,76168.0,10
38.416000000000004,2017-08-31 10:15:00,208,3838.8,2017-09-04 14:00:00,209,3844.4,7.583999999999087,10.0,IF88:CTP,76832.0,10
38.495,2017-09-05 13:00:00,210,3862.2,2017-09-06 10:30:00,211,3836.8,-302.49499999999637,10.0,IF88:CTP,76990.0,10
38.435,2017-09-07 13:45:00,212,3850.8,2017-09-07 14:30:00,213,3836.2,-194.43500000000364,10.0,IF88:CTP,76870.0,10
38.498,2017-09-11 10:30:00,214,3854.8,2017-09-13 14:30:00,215,3844.8,-148.498,10.0,IF88:CTP,76996.0,10
38.448,2017-09-18 10:00:00,216,3848.6,2017-09-19 13:15:00,218,3841.0,-124.4479999999991,10.0,IF88:CTP,76896.0,10
38.374,2017-09-19 13:15:00,219,3841.0,2017-09-21 10:15:00,220,3833.8,23.62599999999818,10.0,IF88:CTP,76748.0,-10
38.192,2017-09-22 11:00:00,221,3819.6,2017-09-25 13:15:00,222,3818.8,-40.19200000000273,10.0,IF88:CTP,76384.0,-10
38.353,2017-09-28 11:00:00,223,3814.8,2017-09-29 11:00:00,225,3855.8,-458.353,10.0,IF88:CTP,76706.0,-10
38.643,2017-09-29 11:00:00,226,3855.8,2017-10-10 10:45:00,227,3872.8,121.357,10.0,IF88:CTP,77286.0,10
39.116,2017-10-11 14:00:00,228,3902.4,2017-10-16 13:30:00,229,3920.8,134.88400000000092,10.0,IF88:CTP,78232.0,10
39.18,2017-10-18 11:00:00,230,3923.4,2017-10-20 10:30:00,231,3912.6,-157.18000000000183,10.0,IF88:CTP,78360.0,10
39.363,2017-10-23 13:15:00,232,3913.0,2017-10-25 14:30:00,233,3959.6,416.6369999999991,10.0,IF88:CTP,78726.0,10
39.753,2017-10-31 13:15:00,234,3975.0,2017-11-02 10:45:00,235,3975.6,-43.75300000000091,10.0,IF88:CTP,79506.0,10
40.147,2017-11-03 13:30:00,236,3961.8,2017-11-08 11:00:00,237,4067.6,1007.8529999999972,10.0,IF88:CTP,80294.0,10
